Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Total_Value,Recoverable
Stove,Cat1,4.57,8.91,7.22,4.13,1.29,5.86,9.5,9.65,3.99,616.64,1517.134449,0
iPhone 11,Cat3,9.92,8.29,6.7,1.16,1.14,7.44,1.3,5.86,2.88,851.33,1345.715008,0
iPhone 11,Cat3,7.56,5.08,1.95,6.7,5.44,9.53,0.64,4.11,2.07,479.12,1670.428627,0
TV,Cat4,0.36,2.98,5.65,4.52,7.76,0.17,8.16,4.89,8.3,322.24,1183.6597099999997,0
Monitor,Cat4,5.48,8.49,5.63,0.27,6.01,0.33,9.6,1.44,0.17,575.88,845.9441069999999,0
Fridge,Cat1,5.62,6.7,6.04,9.01,6.71,2.46,8.03,9.29,0.12,603.75,2240.9212020000004,1
Speaker,Cat4,2.91,1.26,1.26,8.15,5.43,4.89,0.59,3.93,1.43,211.39,1547.2051230000002,0
Audio Equipment,Cat4,5.58,9.12,0.34,9.1,2.98,7.26,8.47,7.28,7.75,297.8,1793.0814750000002,1
Air Conditioner,Cat1,8.78,8.35,7.85,5.36,1.09,6.73,7.88,6.9,7.72,856.95,2019.3002420000003,1
Air Conditioner,Cat1,5.45,7.37,5.16,6.44,4.12,8.92,5.28,1.41,0.83,548.72,1761.4976930000003,1
Laptop,Cat3,4.48,9.71,2.3,5.32,0.29,0.19,5.61,1.62,3.58,348.94,1297.9685280000003,0
Air Conditioner,Cat1,9.41,4.81,6.13,6.53,5.37,9.62,1.75,0.41,2.55,793.83,2097.1061050000003,1
Tablet,Cat3,7.4,0.65,6.21,8.34,9.21,8.2,8.88,8.12,8.49,697.0,2255.695649,1
Microwave Oven,Cat2,6.77,7.57,6.52,9.28,5.03,0.93,4.73,1.77,6.27,686.42,2393.6354269999997,1
Fridge,Cat1,7.5,9.42,6.1,0.16,1.53,6.47,2.7,1.98,1.07,700.9,993.1284969999999,0
Air Conditioner,Cat1,7.41,0.72,0.95,0.88,1.13,3.27,7.81,0.52,9.6,415.49,673.6784899999999,0
Smartphone,Cat3,5.19,6.28,6.07,6.55,9.18,3.99,3.98,5.4,7.64,584.05,1835.027634,1
Tablet,Cat3,1.39,2.17,7.81,6.33,1.96,4.2,3.75,8.56,3.65,488.12,1702.246425,0
Toaster,Cat2,5.05,3.15,4.23,7.17,5.1,2.73,7.98,5.9,3.5,476.71,1770.3681999999997,1
Iron,Cat2,6.15,4.87,3.26,3.79,9.17,7.55,1.35,3.95,0.99,479.92,1237.8788590000004,0
TV,Cat4,6.1,4.92,3.22,2.15,4.06,6.18,0.85,2.46,0.12,475.25,977.238612,0
Washing Machine,Cat1,3.25,1.68,8.11,6.53,4.24,4.1,4.01,4.8,4.98,595.33,1872.4306379999998,1
Audio Equipment,Cat4,9.63,5.24,9.15,6.61,9.55,9.89,0.28,7.95,6.49,966.77,2368.2641290000006,1
iPhone 11,Cat3,7.52,7.03,5.86,3.09,6.41,5.04,7.43,5.95,2.26,687.7,1426.917436,0
Microwave Oven,Cat2,5.13,4.54,5.34,2.4,2.96,8.09,1.07,8.8,6.31,540.98,1127.2731210000002,0
Washing Machine,Cat1,4.56,8.21,6.99,3.21,8.0,7.38,2.45,1.94,6.66,603.54,1354.682926,0
Smartphone,Cat3,6.39,9.86,1.76,7.7,9.13,7.15,8.12,9.28,1.6,414.19,1742.13273,0
Air Conditioner,Cat1,2.22,3.85,0.53,7.36,3.8,7.2,3.78,4.51,2.32,139.87,1325.392622,0
Stove,Cat1,7.68,2.66,9.59,8.68,1.82,5.27,9.86,6.52,3.95,892.85,2601.221945,1
Audio Equipment,Cat4,5.37,4.06,8.36,1.29,8.44,8.47,7.78,6.08,4.3,714.4,1214.4504600000002,0
Laptop,Cat3,7.59,8.39,8.3,7.78,7.67,7.88,2.31,7.1,7.12,822.73,2357.1983320000004,1
Iron,Cat2,6.93,9.13,7.69,9.57,4.36,1.91,0.2,2.37,7.21,757.88,2544.725241,1
Smartphone,Cat3,4.1,1.59,5.75,8.47,3.65,7.72,8.77,0.4,3.11,510.65,2034.7377110000002,1
Vacuum Cleaner,Cat2,0.98,1.84,6.67,1.34,2.68,8.0,1.23,3.07,1.52,406.78,810.8143620000001,0
Laptop,Cat3,2.52,4.27,9.57,8.8,8.41,5.56,5.18,0.42,9.14,639.26,2299.865694,1
Tablet,Cat3,6.49,2.76,8.32,7.98,2.15,9.74,1.91,5.2,3.66,766.48,2316.2210060000007,1
Fridge,Cat1,0.79,7.71,7.26,3.12,6.15,1.12,2.16,5.32,3.26,432.34,1128.154366,0
TV,Cat4,6.51,9.1,1.37,1.2,8.86,9.37,6.5,4.92,9.57,398.79,709.797407,0
Stove,Cat1,4.52,4.06,3.32,3.58,7.74,9.71,2.86,7.94,1.96,402.6,1108.4350859999997,0
Iron,Cat2,2.47,6.21,0.88,6.27,7.85,2.27,8.79,3.21,0.79,172.23,1202.500899,0
Air Conditioner,Cat1,7.83,6.53,5.63,6.4,6.46,6.73,1.85,5.76,6.19,690.35,1940.0719689999999,1
Smartphone,Cat3,3.47,1.34,0.2,6.7,4.37,1.24,4.5,5.56,6.48,182.07,1271.3039079999999,0
Iron,Cat2,6.03,3.45,7.75,9.36,1.71,7.01,6.91,2.4,6.19,713.67,2456.040349,1
Speaker,Cat4,3.64,7.27,2.3,4.76,8.29,4.56,8.29,5.01,4.02,306.46,1157.101112,0
Toaster,Cat2,0.25,9.14,6.33,3.92,4.61,1.04,2.77,5.81,3.84,356.77,1144.6813539999998,0
Monitor,Cat4,4.15,1.29,5.59,9.32,4.61,0.57,6.01,0.93,8.65,504.25,2156.093065,1
Audio Equipment,Cat4,6.96,3.47,2.26,5.32,7.85,6.07,0.33,1.14,3.23,465.29,1442.825813,0
iPhone 11,Cat3,6.97,2.49,0.47,0.81,3.14,8.45,7.06,7.28,2.41,369.29,598.5676709999999,0
Washing Machine,Cat1,2.65,4.63,9.22,4.15,2.14,7.49,3.86,2.17,1.54,627.05,1559.1071740000002,0
Air Conditioner,Cat1,5.09,2.39,9.14,7.14,8.22,7.27,5.61,8.14,4.35,741.45,2165.370545,1
Iron,Cat2,1.69,3.34,1.89,9.36,8.97,2.46,9.77,9.32,2.14,186.39,1712.2310539999996,0
Toaster,Cat2,1.72,5.67,5.33,6.58,5.18,2.22,0.76,4.21,0.65,373.46,1563.8448149999997,0
Vacuum Cleaner,Cat2,9.27,5.41,5.92,9.22,8.87,2.41,1.7,0.67,0.64,775.96,2488.7611639999996,1
Iron,Cat2,2.88,3.56,3.28,8.68,6.56,5.47,8.52,5.77,4.99,319.49,1793.4406389999997,1
Tablet,Cat3,4.47,5.46,2.85,2.59,7.51,5.18,6.51,8.21,7.16,375.67,915.0365859999999,0
Microwave Oven,Cat2,5.26,6.59,2.98,8.96,9.73,8.85,4.32,2.17,7.52,422.2,1963.086792,1
Microwave Oven,Cat2,7.83,9.69,0.48,0.86,4.35,8.78,2.37,9.61,7.02,416.23,667.271512,0
Vacuum Cleaner,Cat2,1.34,3.52,0.28,3.52,8.46,0.78,9.64,7.78,8.19,82.99,655.0218590000001,0
Stove,Cat1,3.03,2.93,8.42,6.65,8.64,4.91,8.28,2.89,0.26,601.93,1903.839106,1
Iron,Cat2,4.18,4.65,9.84,9.39,9.47,8.03,6.86,1.44,7.19,735.57,2516.590309,1
Speaker,Cat4,9.94,1.93,3.82,5.09,6.29,4.62,3.07,1.1,8.65,694.37,1716.7901849999998,0
Laptop,Cat3,1.22,8.08,5.25,3.93,6.65,1.65,6.66,8.19,9.7,346.0,1117.99561,0
Laptop,Cat3,9.22,5.01,8.25,0.2,3.78,3.73,9.26,4.88,1.95,898.07,1275.9665850000001,0
Air Conditioner,Cat1,3.54,5.64,4.98,6.05,4.22,6.68,5.62,9.51,5.84,444.19,1566.3609539999998,0
Iron,Cat2,2.08,4.27,4.09,8.12,3.3,8.26,2.23,6.61,6.83,324.0,1723.285753,0
Speaker,Cat4,9.22,5.97,2.79,9.16,6.39,0.8,6.89,4.23,2.4,606.05,2223.33853,1
Laptop,Cat3,5.17,2.55,2.39,3.25,1.06,3.8,6.97,3.04,0.37,383.64,1020.5397770000001,0
Toaster,Cat2,7.31,0.6,6.13,6.99,6.91,3.48,9.28,0.7,3.79,688.14,2034.123059,1
Washing Machine,Cat1,3.8,5.04,9.17,6.17,8.03,8.63,8.81,9.32,9.9,681.22,1940.072,1
Stove,Cat1,3.99,9.62,4.37,5.63,9.91,2.4,8.13,4.82,8.61,435.9,1483.509461,0
Audio Equipment,Cat4,0.6,5.86,2.59,5.73,9.55,9.18,0.84,6.67,5.71,171.92,1141.2125010000002,0
Monitor,Cat4,1.15,7.17,4.85,6.6,9.03,5.69,6.35,3.36,3.47,320.71,1494.3984369999998,0
Iron,Cat2,9.55,3.72,0.2,8.43,9.31,8.29,6.68,1.51,1.93,482.38,1919.010033,1
Vacuum Cleaner,Cat2,8.06,7.95,7.72,8.45,2.87,7.29,6.99,0.61,1.64,814.41,2442.720604,1
Air Conditioner,Cat1,3.04,6.13,1.16,0.82,8.7,8.3,5.44,4.08,8.6,215.32,415.8723800000001,0
Audio Equipment,Cat4,3.93,3.34,4.66,3.53,4.03,5.94,5.98,7.74,7.35,444.87,1171.8072750000001,0
Tablet,Cat3,1.65,1.65,4.13,5.62,1.62,9.27,7.35,2.4,2.89,303.5,1309.928259,0
Washing Machine,Cat1,8.47,8.35,7.51,3.46,6.54,7.86,4.98,0.67,7.13,823.6,1678.1220829999995,0
Toaster,Cat2,1.98,6.96,4.07,1.81,9.89,1.21,8.57,4.37,7.83,319.51,739.926683,0
Smartphone,Cat3,7.74,3.64,7.33,5.35,1.12,6.26,9.57,5.93,7.04,775.28,1906.6780740000004,1
Toaster,Cat2,3.26,0.76,4.48,6.88,1.74,7.96,8.77,2.81,0.9,400.83,1632.5297600000004,0
Iron,Cat2,2.44,7.77,2.62,1.0,8.46,0.75,1.67,8.79,8.6,264.86,526.1058,0
Smartphone,Cat3,5.15,8.92,4.78,3.55,0.21,2.07,3.71,3.18,0.31,514.32,1265.3301810000003,0
Stove,Cat1,8.49,7.53,2.07,2.06,5.83,3.61,3.99,7.25,7.31,532.54,1020.7979310000001,0
Toaster,Cat2,9.62,2.84,4.3,7.83,4.18,2.8,9.41,5.77,1.38,704.82,2161.3860080000004,1
Iron,Cat2,4.01,0.1,5.59,1.61,3.88,9.91,7.92,1.96,6.02,496.85,951.5533920000001,0
Iron,Cat2,5.85,1.84,1.1,7.99,0.93,0.79,6.27,6.3,7.5,347.47,1692.1356999999998,0
Microwave Oven,Cat2,3.65,6.44,8.14,0.47,6.97,8.91,7.91,2.64,2.58,619.45,965.1305880000001,0
Audio Equipment,Cat4,9.34,3.92,7.84,6.18,5.33,4.61,6.9,6.6,4.26,881.41,2176.095096,1
Iron,Cat2,9.52,9.06,0.25,6.67,9.58,0.29,3.68,8.84,3.85,486.5,1653.2000749999997,0
TV,Cat4,7.74,2.68,4.52,9.24,2.14,4.33,9.88,2.74,8.57,624.14,2281.0550470000003,1
Microwave Oven,Cat2,9.16,3.94,5.79,0.41,7.65,7.16,8.99,7.64,0.26,762.82,1104.707806,0
Speaker,Cat4,0.32,6.14,5.54,4.65,8.63,9.68,9.36,7.6,5.82,316.38,1195.7734819999998,0
iPhone 11,Cat3,9.23,2.1,6.05,4.98,3.01,9.74,6.43,8.47,4.11,779.12,1836.683581,1
Laptop,Cat3,1.07,8.26,9.76,7.32,5.96,9.54,2.92,2.34,2.57,580.52,1999.8114170000001,1
TV,Cat4,3.44,5.55,8.51,8.81,7.27,7.32,2.02,0.43,5.74,628.42,2273.811024000001,1
iPhone 11,Cat3,6.69,1.11,3.49,0.53,1.54,5.24,9.34,8.43,2.54,516.47,781.0127640000001,0
Smartphone,Cat3,2.43,0.53,0.4,7.39,1.97,8.38,8.07,4.86,2.85,141.32,1329.4372050000002,0
Tablet,Cat3,9.74,1.22,1.12,7.43,6.6,7.67,9.67,7.78,2.3,539.53,1847.9205200000001,1
Tablet,Cat3,4.11,8.39,1.49,5.25,2.03,7.83,0.12,9.65,5.98,286.77,1197.5564180000001,0
Smartphone,Cat3,1.3,6.46,4.89,6.05,9.11,6.94,3.91,1.79,4.23,329.85,1421.022713,0
Stove,Cat1,2.88,9.82,2.9,8.67,3.88,3.94,5.33,9.36,8.02,302.65,1766.931702,1
Iron,Cat2,4.03,9.74,2.71,0.51,5.53,4.62,7.73,9.39,0.2,348.97,558.0459500000001,0
Stove,Cat1,6.85,3.21,2.62,0.48,5.09,2.67,2.38,4.43,2.2,478.92,714.5912999999999,0
Vacuum Cleaner,Cat2,1.11,1.49,7.39,2.69,1.62,6.25,9.87,0.52,3.48,451.5,1086.131258,0
Monitor,Cat4,1.92,2.28,3.39,1.7,7.47,2.55,0.36,6.81,3.01,277.44,659.5396610000001,0
Speaker,Cat4,4.91,5.76,4.56,5.57,5.23,5.47,2.19,9.11,2.5,489.06,1542.9305099999997,0
Audio Equipment,Cat4,0.42,0.23,1.08,1.0,2.42,0.21,8.15,5.08,8.2,78.67,268.90285000000006,0
Air Conditioner,Cat1,8.99,7.11,5.12,0.18,5.44,0.66,9.05,4.68,5.87,720.23,1006.9974270000001,0
TV,Cat4,9.95,8.07,5.37,6.16,0.75,4.34,4.94,5.34,2.15,781.35,2014.5687349999998,1
Air Conditioner,Cat1,2.08,4.49,9.38,0.7,0.83,6.38,9.9,4.37,5.1,607.5,1001.8634000000001,0
Toaster,Cat2,8.84,2.8,5.38,7.29,1.43,1.71,3.35,5.57,1.09,724.28,2116.6091890000002,1
Vacuum Cleaner,Cat2,2.4,3.23,7.75,3.74,5.57,3.72,0.78,9.23,3.09,535.18,1359.5788789999997,0
Washing Machine,Cat1,2.95,2.76,9.83,5.36,8.75,1.4,5.11,8.52,7.5,673.38,1812.8433300000002,1
Tablet,Cat3,6.27,7.45,7.57,6.43,6.05,9.22,0.97,8.79,5.59,718.22,2006.0892290000002,1
Audio Equipment,Cat4,0.87,5.35,3.43,0.25,0.57,6.42,2.32,4.29,8.27,229.72,375.8661570000001,0
Speaker,Cat4,4.51,1.94,2.14,2.35,1.35,6.33,3.08,9.26,5.75,337.51,819.3515050000002,0
Washing Machine,Cat1,2.62,6.59,7.92,8.85,8.2,7.57,9.73,2.36,9.62,557.13,2182.4927119999993,1
Toaster,Cat2,2.32,2.91,0.96,9.1,6.53,6.4,0.96,2.52,6.61,167.31,1635.212981,0
Smartphone,Cat3,3.92,1.66,4.22,6.25,6.65,6.32,0.58,6.78,3.44,419.89,1555.542904,0
Stove,Cat1,3.75,2.55,1.36,8.75,4.58,6.94,6.9,6.96,8.56,258.78,1701.748496,0
Monitor,Cat4,1.79,7.96,8.92,0.7,8.19,2.77,0.99,5.51,2.77,570.62,949.829517,0
iPhone 11,Cat3,4.09,1.78,6.84,8.24,0.63,8.82,0.45,3.28,3.35,568.65,2086.8289750000004,1
Speaker,Cat4,0.74,7.25,9.73,6.02,4.08,8.77,5.35,2.13,3.3,562.08,1774.43127,1
Tablet,Cat3,5.1,4.64,8.09,0.49,5.67,9.02,0.48,8.49,9.23,686.97,1052.279873,0
Toaster,Cat2,6.68,4.34,7.66,1.75,6.33,3.84,4.53,5.15,7.98,741.31,1310.304268,0
Speaker,Cat4,8.04,1.29,7.37,3.87,7.45,7.86,0.67,2.45,4.31,790.94,1696.934801,0
Tablet,Cat3,4.38,0.96,6.89,2.18,3.13,2.51,1.06,9.65,1.94,585.03,1168.643034,0
Toaster,Cat2,3.68,8.11,2.6,8.44,8.06,6.62,5.82,2.39,2.8,325.01,1755.10533,1
Iron,Cat2,6.42,2.2,2.87,9.98,4.56,5.21,1.81,0.26,9.84,470.65,2179.777494,1
Smartphone,Cat3,5.15,7.69,9.31,1.48,7.85,6.91,2.3,0.32,2.12,756.53,1310.513602,0
Smartphone,Cat3,6.81,5.02,3.73,5.66,2.26,3.34,7.44,6.06,1.05,537.44,1606.677465,0
Speaker,Cat4,7.08,6.9,5.18,9.11,8.46,9.95,7.38,4.96,8.43,629.69,2277.7299129999997,1
Laptop,Cat3,4.62,9.5,4.62,3.63,8.44,6.46,4.68,1.7,5.59,480.23,1232.7619190000003,0
Air Conditioner,Cat1,6.97,6.15,8.3,5.08,0.29,1.18,6.07,0.18,0.24,790.75,1897.8000639999998,1
Stove,Cat1,3.46,3.32,6.7,6.84,9.7,9.68,6.25,2.28,7.09,531.22,1821.150589,1
Audio Equipment,Cat4,9.4,5.4,9.14,4.64,7.09,5.75,8.31,1.72,5.1,954.91,2047.8927600000002,1
Speaker,Cat4,5.92,8.11,3.37,1.81,5.76,9.18,0.31,9.01,4.8,476.35,928.7023500000001,0
Smartphone,Cat3,1.79,2.55,1.21,6.47,5.39,1.42,8.49,1.65,6.15,154.35,1214.5138249999995,0
Stove,Cat1,9.46,6.78,2.28,5.7,3.33,9.37,1.38,4.29,6.67,591.1,1661.5402470000001,0
Toaster,Cat2,6.33,4.77,8.63,1.8,9.77,0.15,2.16,4.02,6.68,776.31,1375.240958,0
Air Conditioner,Cat1,5.93,3.37,4.81,6.92,0.31,6.81,9.97,5.48,0.67,551.16,1833.4379569999999,1
iPhone 11,Cat3,7.19,3.86,1.68,1.48,7.24,1.55,7.07,3.31,8.89,445.65,815.2041290000001,0
Speaker,Cat4,1.21,4.81,4.81,5.49,5.43,7.31,3.7,2.59,2.05,320.15,1320.540845,0
Speaker,Cat4,2.48,7.38,2.78,5.6,6.35,7.4,1.89,4.35,2.78,275.27,1254.345508,0
Vacuum Cleaner,Cat2,7.33,8.57,3.45,4.77,8.13,9.2,7.92,4.26,3.33,550.22,1481.9595929999998,0
Monitor,Cat4,8.56,3.23,2.39,6.32,9.82,3.16,6.38,4.19,4.04,550.71,1707.3490740000002,0
Speaker,Cat4,8.76,1.11,5.25,2.71,2.14,1.13,5.61,4.98,1.1,712.42,1389.6326800000002,0
Monitor,Cat4,8.49,0.78,1.41,6.83,3.04,4.15,1.2,6.78,0.34,493.28,1700.2074440000004,0
iPhone 11,Cat3,5.47,3.89,2.67,7.47,2.24,9.84,5.39,3.51,4.66,414.28,1717.396216,0
Air Conditioner,Cat1,1.19,1.16,7.2,0.55,6.51,4.02,6.21,9.83,2.3,445.09,743.68608,0
iPhone 11,Cat3,9.45,8.35,3.56,0.72,8.72,3.07,5.32,3.36,8.23,660.05,994.1255130000001,0
Laptop,Cat3,7.06,9.78,1.26,0.97,5.7,3.09,1.4,8.07,4.94,420.15,699.6670740000002,0
Stove,Cat1,5.02,1.38,4.97,7.83,6.3,1.39,3.15,8.95,0.76,513.87,1928.9949960000001,1
Monitor,Cat4,1.96,3.61,9.61,3.53,4.5,7.87,7.32,9.31,4.76,613.5,1450.9664559999997,0
Speaker,Cat4,1.35,0.75,8.47,4.38,8.96,2.67,2.17,3.79,7.51,520.77,1449.670051,0
Washing Machine,Cat1,0.4,7.12,2.59,2.23,3.39,1.01,7.56,5.42,0.68,162.58,587.2053980000001,0
Laptop,Cat3,4.34,3.16,7.42,3.37,8.69,8.73,7.36,5.71,4.82,612.92,1396.0024419999997,0
Washing Machine,Cat1,0.3,7.31,4.03,4.92,8.68,9.1,1.58,9.44,1.85,235.15,1115.0785050000004,0
iPhone 11,Cat3,7.37,9.88,5.26,0.89,4.25,6.43,6.33,8.52,1.51,649.81,1030.7263609999998,0
Washing Machine,Cat1,3.23,8.55,2.08,4.31,1.06,6.37,4.11,9.92,4.69,275.19,1045.221339,0
Vacuum Cleaner,Cat2,8.34,4.17,8.28,5.49,0.25,2.16,0.38,3.19,3.96,855.88,2042.7618059999998,1
Microwave Oven,Cat2,6.43,4.5,3.18,3.18,1.18,8.71,2.94,3.56,1.56,489.09,1153.7697860000003,0
Microwave Oven,Cat2,5.87,3.88,7.96,6.43,4.77,0.52,2.55,6.57,8.47,717.23,2009.1901770000002,1
Iron,Cat2,0.11,1.39,7.66,2.83,1.08,1.52,8.15,4.26,7.42,416.68,1067.431422,0
Washing Machine,Cat1,9.34,1.01,9.83,8.59,7.13,8.33,4.87,3.62,3.99,986.46,2708.192429,1
Vacuum Cleaner,Cat2,1.91,4.06,8.3,8.49,3.53,6.94,0.96,7.12,3.4,541.08,2110.8527800000006,1
Laptop,Cat3,1.68,9.51,6.18,3.08,6.55,5.88,1.23,0.35,8.63,419.33,1091.5031130000002,0
iPhone 11,Cat3,5.86,7.14,7.81,4.7,9.67,5.45,7.39,6.62,9.11,710.73,1731.6763610000005,0
Stove,Cat1,4.03,5.97,6.83,9.29,6.55,8.02,1.5,6.94,8.42,567.64,2249.133722,1
Laptop,Cat3,5.54,2.17,8.02,4.31,5.59,7.94,4.61,4.77,9.37,703.4,1663.6447069999997,0
Audio Equipment,Cat4,6.33,1.55,7.61,2.16,0.97,2.99,5.92,2.55,1.68,719.74,1345.3374880000003,0
Laptop,Cat3,0.97,4.28,9.97,8.55,4.42,4.37,5.17,6.11,2.63,584.46,2197.3304029999995,1
Audio Equipment,Cat4,5.58,9.97,9.13,4.69,2.39,8.19,7.04,3.35,5.71,769.27,1822.3198910000003,1
Tablet,Cat3,9.33,4.81,8.99,7.07,0.84,6.17,3.53,4.12,5.21,943.01,2407.3434710000006,1
Laptop,Cat3,9.76,4.57,6.32,7.15,0.49,4.18,0.13,7.66,8.6,820.9,2229.8036600000005,1
Microwave Oven,Cat2,7.34,6.01,9.17,5.03,1.82,2.38,8.64,1.51,3.23,855.51,1983.4293329999998,1
TV,Cat4,9.97,9.53,2.84,6.27,5.89,5.31,4.03,2.45,7.06,647.7,1829.4211659999999,1
Speaker,Cat4,1.42,5.55,5.71,8.94,3.62,8.53,4.82,5.62,7.85,379.11,1941.9446349999998,1
iPhone 11,Cat3,3.24,1.42,3.09,0.84,4.96,5.11,9.58,1.14,3.26,325.74,583.0956160000001,0
Microwave Oven,Cat2,0.21,5.09,2.69,6.16,9.49,0.97,8.15,1.3,6.56,157.52,1190.850686,0
Washing Machine,Cat1,8.89,0.52,3.37,9.29,3.32,1.19,5.6,4.26,9.09,617.75,2264.773919,1
Smartphone,Cat3,7.96,4.95,0.31,2.7,7.89,9.59,4.6,8.45,8.12,410.86,942.372352,0
Toaster,Cat2,5.93,3.17,9.87,9.85,6.34,2.16,3.58,4.07,3.87,822.17,2697.132457,1
Toaster,Cat2,5.16,3.37,5.78,6.49,2.63,7.04,7.92,3.95,8.53,565.34,1797.6389030000003,1
Washing Machine,Cat1,6.07,5.72,0.44,7.22,0.93,2.18,5.29,6.96,9.69,325.16,1536.688009,0
Toaster,Cat2,8.15,3.37,5.03,6.83,1.97,7.26,5.3,8.01,6.81,672.06,1974.9448510000002,1
Speaker,Cat4,1.77,5.22,0.11,5.72,2.05,2.17,4.14,7.67,3.53,95.92,1010.3905529999998,0
Toaster,Cat2,1.22,2.54,3.91,9.11,8.01,1.06,4.56,0.47,1.58,271.03,1807.0484480000002,1
Smartphone,Cat3,1.85,1.69,9.79,2.43,6.96,3.15,5.86,4.67,5.92,616.58,1286.2596520000002,0
Toaster,Cat2,7.59,8.71,9.33,1.44,9.99,0.19,2.56,2.55,1.17,877.99,1458.0090770000002,0
Air Conditioner,Cat1,3.47,8.42,0.71,9.04,1.56,9.74,4.35,9.92,4.64,213.57,1682.280924,0
Fridge,Cat1,6.58,1.49,2.37,3.25,0.67,7.37,5.35,3.4,6.41,451.3,1105.425811,0
Audio Equipment,Cat4,0.4,1.83,5.21,5.88,4.19,6.98,7.22,4.8,5.6,300.05,1360.35586,0
Stove,Cat1,2.93,8.89,8.46,8.53,4.35,8.02,0.14,7.08,7.57,602.57,2197.8821369999996,1
Audio Equipment,Cat4,7.29,2.39,2.54,1.25,6.95,9.66,3.31,5.84,5.15,495.94,854.2421349999998,0
Iron,Cat2,1.92,0.95,9.63,9.0,3.72,6.49,1.65,7.09,2.18,611.04,2295.2949180000005,1
Microwave Oven,Cat2,9.43,0.19,9.31,7.4,0.16,3.98,2.16,2.63,4.7,962.38,2486.1189999999997,1
TV,Cat4,1.14,0.78,0.52,8.87,4.99,6.42,0.17,5.91,9.37,84.51,1488.7133869999998,0
Audio Equipment,Cat4,6.09,5.8,1.35,8.3,6.3,1.33,5.73,7.56,8.11,375.01,1779.1895410000002,1
Air Conditioner,Cat1,9.83,2.05,7.87,0.71,4.03,8.44,3.29,2.83,8.96,906.08,1359.3274259999998,0
Laptop,Cat3,4.02,6.97,4.69,7.07,5.75,7.88,4.36,9.76,7.24,453.04,1732.047364,0
Stove,Cat1,3.17,5.04,1.35,1.7,9.38,7.76,9.19,2.91,0.57,231.26,574.721987,0
Air Conditioner,Cat1,8.73,0.97,1.4,0.22,0.17,1.19,2.26,8.94,1.88,504.55,689.777958,0
Laptop,Cat3,8.55,7.05,1.99,3.05,7.38,4.27,3.0,0.24,2.75,530.96,1171.0482450000002,0
Tablet,Cat3,2.6,9.29,4.55,7.87,2.93,6.23,2.29,7.89,7.4,377.03,1758.73572,1
Microwave Oven,Cat2,6.95,3.94,5.72,6.47,8.2,8.78,2.48,5.61,6.78,650.51,1901.297608,1
Laptop,Cat3,6.65,8.89,1.18,6.16,8.86,4.5,3.9,6.88,4.69,395.28,1471.5013890000002,0
Monitor,Cat4,9.18,9.31,1.0,3.0,7.73,1.12,5.78,3.77,9.28,510.11,1124.262198,0
Fridge,Cat1,8.15,8.12,6.25,9.41,4.51,9.91,0.81,9.88,6.3,740.24,2478.2622,1
Monitor,Cat4,0.12,3.47,3.8,9.28,1.94,3.87,6.43,6.78,4.82,211.59,1757.1971119999998,1
TV,Cat4,5.92,4.82,2.48,3.78,1.19,3.71,8.99,6.36,1.52,426.61,1158.669962,0
Stove,Cat1,2.88,2.35,8.94,5.92,9.46,9.96,2.74,3.89,3.33,622.19,1823.0763430000002,1
Toaster,Cat2,3.8,2.47,4.82,2.96,7.69,3.35,2.04,5.56,5.51,446.56,1087.4571810000002,0
Tablet,Cat3,9.87,8.23,8.38,6.68,2.28,9.15,5.74,1.8,2.73,938.9,2334.356043,1
Iron,Cat2,9.64,3.16,5.5,2.29,4.71,8.79,3.57,8.55,1.69,770.41,1401.575509,0
Iron,Cat2,3.25,8.64,4.02,5.11,2.23,0.35,7.8,7.65,2.43,380.08,1327.5464829999999,0
Washing Machine,Cat1,8.2,0.43,2.85,4.86,9.58,6.56,3.2,5.51,4.99,556.12,1493.4028490000003,0
TV,Cat4,1.12,2.17,1.47,5.06,5.76,2.52,0.21,6.73,6.48,135.17,975.081698,0
Iron,Cat2,5.45,1.57,6.11,9.22,8.66,7.92,1.21,7.2,6.32,596.34,2263.855492,1
Speaker,Cat4,9.57,8.23,3.85,0.31,2.21,3.54,2.94,6.22,8.11,681.33,961.2698509999998,0
TV,Cat4,2.69,8.68,4.68,0.44,7.38,4.0,4.7,5.62,9.05,388.09,622.645005,0
iPhone 11,Cat3,9.53,4.94,2.52,0.22,9.14,6.05,1.74,2.33,4.92,606.36,834.1655320000001,0
Vacuum Cleaner,Cat2,9.0,0.15,6.32,5.52,3.54,7.29,3.64,0.24,6.09,781.13,1926.0117989999999,1
Speaker,Cat4,6.78,3.83,4.42,8.15,5.18,0.21,8.57,3.79,7.08,572.24,2045.483588,1
Stove,Cat1,5.7,9.99,4.22,7.54,5.1,3.0,9.16,8.51,7.23,512.04,1873.737473,1
TV,Cat4,1.18,7.61,5.31,2.76,2.9,1.25,1.97,6.89,2.63,346.92,938.4375229999998,0
Tablet,Cat3,7.3,8.64,6.84,2.21,9.32,9.67,7.19,2.04,2.8,730.45,1357.9775499999998,0
Laptop,Cat3,6.46,2.54,9.53,7.88,5.11,1.99,2.79,5.51,3.32,829.61,2396.470992,1
Monitor,Cat4,0.54,4.72,9.56,0.76,3.32,9.18,4.07,7.01,1.76,541.69,930.5567460000001,0
