Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Total_Metals,Avg_Metal_Value,Profit_per_Metal,Precious_Ratio,Recovery_Status
TV,3,0.31,1.8,2.68,1.47,9.52,3.76,4.94,8.39,4.61,160.06,35.370000000000005,5.052857142857143,4.525303929884082,0.1173310715295448,0
Microwave Oven,1,2.7,4.98,9.08,3.55,4.96,7.05,7.99,3.99,9.68,622.24,46.300000000000004,6.614285714285715,13.439308855291575,0.2727861771058315,1
Stove,0,6.28,3.42,2.8,1.15,6.5,1.35,5.64,7.88,3.9,460.68,29.219999999999995,4.1742857142857135,15.765913757700208,0.13518138261464752,1
Microwave Oven,1,2.4,2.67,2.08,4.78,3.43,7.24,9.22,0.2,4.28,231.09,31.23,4.461428571428572,7.399615754082613,0.2196605827729747,0
Monitor,3,5.68,7.54,0.14,2.16,1.77,5.18,8.15,8.07,2.18,291.04,27.65,3.9499999999999997,10.525858951175408,0.08318264014466548,0
Laptop,2,2.5,7.72,9.06,0.92,6.29,8.55,6.32,5.86,1.02,612.95,38.02,5.4314285714285715,16.121778011572857,0.262493424513414,1
Laptop,2,5.71,0.69,4.66,6.43,4.96,6.49,7.29,7.17,5.65,530.84,42.65,6.0928571428571425,12.446424384525207,0.26002344665885113,1
Laptop,2,2.26,5.58,6.52,7.89,6.11,6.33,4.52,6.22,1.79,463.8,39.38,5.625714285714286,11.777552056881666,0.3659217877094972,1
Fridge,0,0.55,4.14,1.95,4.19,1.07,1.43,6.43,6.73,8.37,133.92,30.17,4.3100000000000005,4.4388465362943315,0.20351342393105734,0
iPhone 11,2,2.82,6.1,1.55,3.31,1.39,5.73,1.17,2.92,2.77,225.24,18.84,2.6914285714285713,11.955414012738855,0.25796178343949044,0
Iron,1,2.58,9.88,7.91,4.7,6.21,4.05,6.01,0.95,2.39,556.42,32.22,4.602857142857142,17.26939788950962,0.3913718187461204,1
Laptop,2,4.73,6.15,8.5,6.53,4.12,3.97,6.18,9.98,9.76,691.51,49.04,7.005714285714285,14.100938009787928,0.3064845024469821,1
Laptop,2,5.42,3.31,7.35,5.81,1.02,9.96,4.99,9.82,6.36,662.23,45.31,6.472857142857143,14.615537408960494,0.29044361068196867,1
iPhone 11,2,5.74,7.02,0.69,6.7,3.62,6.78,5.04,4.82,5.81,323.21,33.46,4.78,9.659593544530782,0.22086072922893007,1
Stove,0,0.6,0.35,8.28,6.27,1.21,1.04,9.97,4.95,6.0,473.37,37.72,5.388571428571429,12.549575821845176,0.38573700954400847,1
Laptop,2,6.47,5.71,7.64,2.56,3.31,3.95,0.4,3.23,5.49,730.66,26.58,3.7971428571428567,27.489089541008276,0.3837471783295711,1
Air Conditioner,0,7.65,3.47,8.8,7.51,0.98,7.62,6.45,6.1,8.48,849.55,45.94,6.562857142857142,18.492599042228996,0.35502829777971273,1
Toaster,1,6.67,8.03,4.89,2.39,0.28,6.65,1.54,3.3,7.03,594.48,26.080000000000002,3.725714285714286,22.79447852760736,0.27914110429447847,1
Washing Machine,0,3.36,8.17,0.37,3.12,9.56,1.36,2.62,4.15,0.2,189.76,21.38,3.0542857142857143,8.8755846585594,0.16323666978484566,0
Iron,1,3.86,6.91,6.82,8.32,7.66,4.22,5.38,3.05,6.19,559.23,41.63999999999999,5.9485714285714275,13.430115273775218,0.3635926993275697,1
Laptop,2,6.85,9.4,5.09,0.17,7.07,1.2,3.29,7.78,2.77,614.82,27.37,3.91,22.463280964559736,0.19218122031421261,1
Iron,1,5.75,7.18,6.76,9.09,5.1,1.5,2.25,1.0,7.77,648.95,33.47,4.781428571428571,19.389005079175384,0.4735584105168808,1
Vacuum Cleaner,1,2.32,8.39,1.35,7.88,6.75,4.19,1.69,8.96,9.14,191.31,39.96000000000001,5.70857142857143,4.787537537537537,0.23098098098098094,0
iPhone 11,2,9.41,4.79,9.92,0.55,3.66,7.79,4.37,8.17,4.9,996.83,39.36,5.622857142857143,25.325965447154474,0.26600609756097565,1
iPhone 11,2,5.74,0.43,9.28,4.28,2.58,9.41,3.11,5.38,9.78,779.73,43.82,6.26,17.793929712460063,0.30944774075764486,1
TV,3,3.6,8.43,2.76,0.72,6.18,4.07,7.3,0.11,5.88,329.77,27.02,3.86,12.204663212435232,0.12879348630643966,1
Washing Machine,0,4.51,5.3,5.22,6.17,0.8,4.81,7.05,1.33,0.67,504.43,26.050000000000004,3.721428571428572,19.36391554702495,0.437236084452975,1
Iron,1,6.03,8.42,7.51,4.51,2.46,9.81,4.72,0.79,1.64,703.72,31.439999999999998,4.491428571428571,22.382951653944023,0.38231552162849874,1
Vacuum Cleaner,1,9.13,3.01,0.89,3.07,4.17,0.86,4.54,2.6,2.69,498.1,18.82,2.6885714285714286,26.46652497343252,0.2104144527098831,1
Vacuum Cleaner,1,2.39,0.35,4.65,1.96,6.52,7.76,4.99,0.85,2.47,367.02,29.200000000000003,4.171428571428572,12.56917808219178,0.22636986301369863,1
Monitor,3,7.61,4.81,0.94,3.99,3.68,1.76,2.52,2.98,8.28,427.13,24.15,3.4499999999999997,17.686542443064184,0.2041407867494824,1
Vacuum Cleaner,1,0.96,5.14,5.8,8.64,6.07,1.55,8.6,7.4,7.42,361.0,45.480000000000004,6.497142857142857,7.937554969217238,0.3175021987686895,1
iPhone 11,2,0.1,4.85,8.95,6.8,0.6,8.53,8.7,3.46,8.15,487.41,45.19,6.4557142857142855,10.785793317105556,0.34852843549457846,1
Tablet,2,1.93,1.6,5.52,7.1,4.94,5.07,1.9,3.23,6.18,391.68,33.94,4.848571428571428,11.54036535061874,0.3718326458456099,1
Air Conditioner,0,0.3,3.03,0.45,2.9,1.48,1.52,7.23,9.2,2.37,40.64,25.150000000000002,3.592857142857143,1.6159045725646122,0.1332007952286282,0
Microwave Oven,1,6.56,0.91,5.66,1.89,7.74,5.32,4.72,8.2,8.88,626.33,42.410000000000004,6.058571428571429,14.768450837066728,0.1780240509313841,1
Vacuum Cleaner,1,0.57,7.9,6.14,7.9,1.05,6.9,3.07,0.99,2.65,361.66,28.7,4.1,12.601393728222998,0.48919860627177697,1
Tablet,2,6.59,4.56,9.53,2.6,8.0,2.29,3.34,8.27,9.73,837.2,43.760000000000005,6.251428571428572,19.13162705667276,0.2771937842778793,1
TV,3,2.4,6.62,4.33,4.69,5.65,4.76,0.83,7.81,7.76,353.89,35.83,5.118571428571428,9.876918783142617,0.25174434831147086,1
Stove,0,3.54,3.98,5.1,1.24,7.53,5.8,6.25,9.75,4.16,449.7,39.83,5.6899999999999995,11.290484559377354,0.15917650012553353,1
Microwave Oven,1,8.19,4.1,4.21,0.98,7.74,0.58,8.42,8.68,1.08,630.47,31.689999999999998,4.527142857142857,19.894919532975706,0.16377406121804985,1
Vacuum Cleaner,1,2.8,2.0,1.03,8.48,5.69,1.94,9.27,9.86,4.8,194.03,41.06999999999999,5.8671428571428565,4.72437302167032,0.23155588020452889,0
Microwave Oven,1,7.69,9.56,7.58,2.67,5.38,0.21,8.76,1.56,2.51,789.56,28.67,4.095714285714286,27.539588419951166,0.3575165678409487,1
Laptop,2,8.79,0.25,3.1,7.23,8.29,9.1,1.6,7.53,9.1,598.44,45.95,6.564285714285715,13.023721436343852,0.22480957562568007,1
Audio Equipment,3,5.57,6.06,4.76,5.54,0.6,8.86,9.04,2.0,1.09,532.38,31.889999999999997,4.555714285714285,16.69426152398871,0.3229852618375667,1
Laptop,2,0.43,2.19,5.38,1.15,0.21,0.32,2.27,3.5,5.95,310.66,18.78,2.682857142857143,16.54206602768903,0.3477103301384451,1
Speaker,3,0.15,1.65,9.12,4.6,5.26,9.33,7.03,5.67,2.43,497.22,43.44,6.2057142857142855,11.446132596685084,0.3158379373848987,1
Iron,1,2.2,2.9,3.31,4.7,1.22,0.38,9.84,1.76,5.24,287.14,26.450000000000003,3.778571428571429,10.85595463137996,0.3028355387523629,0
Fridge,0,6.1,3.84,8.04,4.66,4.74,0.37,5.78,5.14,1.99,732.79,30.72,4.388571428571429,23.853841145833332,0.4134114583333333,1
TV,3,7.14,6.85,6.62,9.38,3.51,1.24,3.14,7.53,8.99,709.53,40.41,5.772857142857142,17.55827765404603,0.3959415986142044,1
Iron,1,3.66,8.69,4.29,1.05,7.87,8.26,6.66,4.77,0.41,414.94,33.309999999999995,4.758571428571428,12.456919843890725,0.1603122185529871,1
Fridge,0,9.5,5.53,5.21,6.19,6.05,5.42,7.92,3.84,5.88,749.3,40.51,5.7871428571428565,18.496667489508763,0.2814119970377685,1
Smartphone,2,1.04,8.55,1.46,0.82,5.49,4.75,6.53,2.09,5.51,134.39,26.65,3.807142857142857,5.042776735459662,0.08555347091932458,0
iPhone 11,2,5.43,6.37,8.58,2.92,6.15,2.86,6.15,2.93,7.01,730.32,36.599999999999994,5.228571428571428,19.954098360655742,0.3142076502732241,1
iPhone 11,2,0.46,3.82,8.45,8.68,1.21,3.18,6.18,2.2,3.44,477.63,33.339999999999996,4.7628571428571425,14.326034793041392,0.5137972405518897,1
TV,3,9.81,6.65,5.97,1.35,9.41,2.1,0.59,8.98,8.35,805.88,36.75,5.25,21.928707482993197,0.19918367346938776,1
Microwave Oven,1,7.79,8.6,1.12,0.72,4.22,5.97,8.44,0.37,3.87,447.88,24.71,3.5300000000000002,18.125455281262646,0.0744637798462161,1
iPhone 11,2,2.04,0.5,2.48,1.47,2.04,9.73,3.83,7.67,1.37,233.61,28.59,4.0842857142857145,8.171038824763905,0.13816019587268277,0
Tablet,2,1.51,7.45,6.56,7.87,3.52,3.78,1.14,0.15,3.38,430.08,26.4,3.7714285714285714,16.290909090909093,0.5465909090909091,1
TV,3,8.97,6.4,4.26,8.57,2.2,7.89,2.58,8.97,6.76,672.85,41.23,5.89,16.319427601261218,0.31118117875333495,1
Toaster,1,9.68,6.84,5.62,1.42,4.33,1.02,8.66,2.14,7.31,780.76,30.5,4.357142857142857,25.598688524590163,0.23081967213114754,1
Tablet,2,7.72,8.74,5.62,7.27,8.9,8.13,5.61,7.57,6.25,685.74,49.35,7.05,13.895440729483282,0.2611955420466059,1
Smartphone,2,0.74,3.34,4.14,0.63,6.34,4.28,9.47,4.39,5.88,260.27,35.13,5.018571428571429,7.408767435240534,0.13578138343296325,0
Speaker,3,2.26,3.28,0.63,1.77,6.81,5.88,7.92,2.04,4.57,146.89,29.619999999999997,4.231428571428571,4.959149223497636,0.08102633355840648,0
Microwave Oven,1,3.78,9.87,3.48,9.78,3.02,9.56,1.29,2.67,4.87,378.07,34.67,4.952857142857143,10.904816844534178,0.38246322468993366,1
Air Conditioner,0,0.31,8.42,0.31,2.94,4.49,1.3,0.16,8.81,2.63,36.75,20.64,2.948571428571429,1.7805232558139534,0.15746124031007752,0
iPhone 11,2,7.76,3.25,3.67,3.8,8.8,7.89,2.42,6.0,2.59,580.07,35.17,5.024285714285715,16.493318168893943,0.21239692920102357,1
Iron,1,6.92,6.4,2.14,7.26,0.16,7.1,6.75,7.74,6.2,458.49,37.35,5.335714285714286,12.275502008032129,0.25167336010709507,1
Fridge,0,9.8,3.48,2.19,3.1,4.67,0.42,4.8,8.3,3.94,600.94,27.42,3.9171428571428573,21.916119620714806,0.19292487235594455,1
Vacuum Cleaner,1,2.64,8.98,9.58,5.44,0.13,6.57,3.66,0.59,8.33,648.29,34.3,4.8999999999999995,18.90058309037901,0.43790087463556854,1
Audio Equipment,3,4.83,8.25,1.16,7.32,5.26,2.38,0.39,9.38,5.65,304.33,31.54,4.505714285714285,9.649017121116042,0.2688649334178821,1
Vacuum Cleaner,1,1.18,8.24,8.4,7.67,9.87,8.86,2.76,5.28,8.07,513.09,50.91,7.272857142857142,10.078373600471421,0.31565507758790023,1
Laptop,2,0.49,9.66,2.75,3.28,4.5,2.54,0.51,7.56,4.43,177.07,25.57,3.652857142857143,6.924912006257332,0.2358232303480641,0
Air Conditioner,0,0.7,4.05,8.32,8.52,3.59,5.17,1.58,8.73,3.24,482.66,39.15,5.5928571428571425,12.328480204342274,0.4301404853128991,1
Monitor,3,0.63,2.48,7.22,9.92,8.66,8.32,4.4,1.53,2.88,419.51,42.93000000000001,6.1328571428571435,9.771954344281387,0.3992546005124621,1
Smartphone,2,2.1,5.08,4.14,9.14,3.27,8.27,1.96,6.35,1.89,328.12,35.02,5.002857142857144,9.36950314106225,0.3792118789263278,1
Microwave Oven,1,3.17,3.56,4.92,7.87,9.58,9.31,9.37,7.76,4.3,421.73,53.10999999999999,7.587142857142856,7.94068913575598,0.24082093767652044,1
iPhone 11,2,9.44,5.0,6.22,8.07,5.72,5.88,0.56,2.99,0.57,800.17,30.009999999999998,4.2871428571428565,26.663445518160614,0.4761746084638454,1
Laptop,2,3.09,3.65,8.12,7.64,9.2,1.19,1.5,4.45,2.58,589.15,34.68,4.954285714285715,16.988177623990772,0.45444059976931944,1
Iron,1,1.63,3.69,7.29,8.22,8.85,9.5,4.67,3.64,6.35,473.11,48.52,6.9314285714285715,9.750824402308327,0.31966199505358617,1
Tablet,2,4.52,7.8,2.64,7.82,0.17,5.28,8.26,5.9,0.36,368.12,30.43,4.347142857142857,12.097272428524482,0.3437397305290832,1
Monitor,3,9.76,1.56,2.27,5.58,0.57,7.54,0.19,5.08,8.57,602.24,29.800000000000004,4.257142857142858,20.20939597315436,0.26342281879194623,1
iPhone 11,2,8.86,6.24,0.45,1.66,1.05,1.62,0.35,0.14,6.95,463.08,12.219999999999999,1.7457142857142856,37.89525368248773,0.17266775777414076,1
Iron,1,8.23,1.59,6.85,4.29,5.14,4.98,6.67,1.58,1.73,772.49,31.24,4.462857142857143,24.727592829705507,0.3565941101152369,1
Tablet,2,9.3,5.99,0.8,7.63,6.25,3.5,4.4,4.58,4.25,503.41,31.409999999999997,4.487142857142857,16.027061445399557,0.2683858643744031,1
Toaster,1,8.69,4.85,5.04,9.6,1.26,8.75,8.73,7.41,0.32,700.0,41.10999999999999,5.872857142857142,17.02748722938458,0.3561177329117004,1
Fridge,0,4.07,7.53,9.88,9.12,2.7,4.84,9.38,0.24,0.1,733.81,36.260000000000005,5.180000000000001,20.23745173745173,0.5239933811362382,1
TV,3,4.49,4.07,9.45,6.66,6.13,8.71,3.17,3.17,7.21,729.54,44.5,6.357142857142857,16.394157303370786,0.36202247191011233,1
Microwave Oven,1,6.6,4.8,3.48,0.4,8.61,5.8,2.83,3.88,8.28,513.74,33.279999999999994,4.754285714285714,15.436899038461542,0.11658653846153848,1
Microwave Oven,1,8.7,8.23,0.25,5.29,4.16,9.47,4.65,2.32,5.57,445.83,31.71,4.53,14.05960264900662,0.1747082939135919,1
Laptop,2,8.05,8.88,3.24,1.07,6.78,6.05,0.37,3.57,7.22,574.44,28.3,4.042857142857143,20.298233215547704,0.15229681978798587,1
Microwave Oven,1,9.9,0.93,8.02,8.44,0.18,2.55,2.77,2.78,2.43,916.75,27.17,3.8814285714285717,33.74125874125874,0.6058152373941847,1
Stove,0,7.62,1.84,1.12,3.61,5.07,3.68,7.64,2.89,7.37,435.62,31.380000000000003,4.482857142857143,13.882090503505417,0.1507329509241555,1
iPhone 11,2,3.94,5.63,0.51,6.19,1.52,6.09,9.95,3.6,6.69,224.28,34.55,4.935714285714285,6.491461649782924,0.19392185238784374,0
Microwave Oven,1,3.88,2.83,5.0,6.21,9.24,8.69,8.22,2.38,4.12,460.47,43.86,6.265714285714286,10.498632010943913,0.2555859553123575,1
Vacuum Cleaner,1,8.92,4.4,2.18,0.31,7.08,2.09,1.12,3.39,7.51,557.76,23.68,3.382857142857143,23.554054054054053,0.10515202702702704,1
Vacuum Cleaner,1,5.44,7.57,7.73,6.58,0.67,9.49,7.9,3.21,8.49,686.0,44.07,6.295714285714285,15.566144769684593,0.32471068754254595,1
iPhone 11,2,6.09,3.87,8.95,0.14,5.64,3.92,8.55,1.89,7.94,781.16,37.03,5.29,21.095328112341342,0.2454766405617067,1
Smartphone,2,8.35,0.36,9.91,0.14,0.17,9.48,0.61,0.44,5.52,941.66,26.270000000000003,3.752857142857143,35.8454510848877,0.38256566425580507,1
TV,3,1.96,3.37,4.05,4.96,6.81,3.92,8.66,3.19,1.63,315.41,33.220000000000006,4.745714285714286,9.494581577363034,0.27122215532811556,1
Smartphone,2,4.55,3.89,9.91,5.06,7.98,9.03,6.74,0.16,1.52,757.07,40.4,5.771428571428571,18.739356435643565,0.37054455445544554,1
iPhone 11,2,6.07,5.34,9.57,2.83,0.86,5.64,9.13,7.37,4.31,814.2,39.71,5.672857142857143,20.50365147318056,0.3122639133719466,1
Speaker,3,6.32,3.1,4.56,7.14,9.47,3.9,9.24,1.8,0.99,556.85,37.1,5.3,15.00943396226415,0.3153638814016172,1
Iron,1,5.79,6.79,4.35,3.25,6.18,2.63,3.46,4.4,4.58,521.6,28.85,4.121428571428572,18.079722703639515,0.2634315424610052,1
Laptop,2,6.84,1.46,4.34,9.93,4.03,4.37,6.25,5.75,3.4,569.61,38.07,5.438571428571429,14.962174940898345,0.3748358287365379,1
Smartphone,2,4.8,2.84,1.52,4.82,8.26,0.39,6.55,4.22,1.6,319.05,27.36,3.9085714285714284,11.661184210526317,0.23172514619883042,1
Washing Machine,0,6.08,5.49,3.13,4.54,3.46,5.07,8.01,2.05,7.33,469.74,33.59,4.798571428571429,13.984519202143494,0.22834176838344744,1
Laptop,2,0.29,6.14,0.95,9.21,2.52,5.12,1.72,4.26,2.11,68.8,25.89,3.698571428571429,2.657396678254152,0.39242950946311317,0
Washing Machine,0,0.37,7.0,6.83,1.24,5.65,5.37,0.41,7.43,0.6,388.33,27.53,3.932857142857143,14.105702869596803,0.29313476207773337,1
Laptop,2,3.93,7.92,0.47,8.91,6.05,2.31,6.97,6.3,1.99,222.95,33.0,4.714285714285714,6.756060606060606,0.28424242424242424,0
Vacuum Cleaner,1,1.24,0.83,1.81,3.19,1.05,9.79,0.53,8.3,6.27,158.58,30.94,4.42,5.125404007756949,0.16160310277957335,0
Speaker,3,4.54,4.3,2.09,8.54,5.54,5.9,4.51,4.41,5.28,337.71,36.269999999999996,5.181428571428571,9.31100082712986,0.29307968017645436,1
Vacuum Cleaner,1,2.67,2.15,4.65,1.55,2.39,3.2,0.55,5.46,4.36,381.67,22.16,3.165714285714286,17.22337545126354,0.27978339350180503,1
Microwave Oven,1,5.5,4.5,5.17,0.19,2.46,7.74,0.1,2.17,5.71,550.02,23.54,3.3628571428571425,23.365335598980458,0.2276975361087511,1
Air Conditioner,0,1.04,2.6,9.64,2.62,0.9,8.97,1.14,5.65,0.58,569.29,29.5,4.214285714285714,19.297966101694914,0.4155932203389831,1
Stove,0,8.31,7.66,1.95,2.41,6.99,8.52,3.44,1.55,0.38,517.45,25.240000000000002,3.605714285714286,20.501188589540412,0.17274167987321712,1
Tablet,2,3.62,1.78,3.68,2.82,0.79,1.53,6.58,2.18,9.53,376.11,27.11,3.8728571428571428,13.873478421246773,0.23976392475101438,1
Audio Equipment,3,5.87,7.57,9.25,2.27,3.01,3.11,0.66,7.86,3.95,788.49,30.11,4.301428571428572,26.186981069412155,0.3825971438060445,1
Vacuum Cleaner,1,9.88,9.81,8.4,1.51,9.79,8.94,0.73,1.88,2.41,941.47,33.66,4.808571428571428,27.969994058229357,0.29441473559120623,1
Audio Equipment,3,6.29,0.68,3.42,0.24,2.71,0.98,2.35,5.93,4.46,492.76,20.09,2.87,24.52762568442011,0.18218018914883027,1
Toaster,1,0.19,6.77,6.39,2.19,1.56,4.63,1.58,9.54,0.68,355.71,26.57,3.795714285714286,13.387655250282272,0.3229205871283402,1
Vacuum Cleaner,1,3.78,0.25,3.24,4.48,6.51,3.92,2.44,7.33,6.13,359.64,34.050000000000004,4.864285714285715,10.562114537444932,0.2267254038179148,1
Fridge,0,4.84,5.24,5.32,3.46,6.9,6.32,4.12,0.39,7.73,526.09,34.24,4.8914285714285715,15.364778037383177,0.2564252336448598,1
Speaker,3,1.27,4.38,2.3,4.18,8.71,7.81,6.45,9.11,2.16,188.42,40.72,5.817142857142857,4.6272102161100195,0.15913555992141454,0
iPhone 11,2,3.33,3.65,7.6,8.9,3.55,8.05,4.53,5.42,3.93,573.13,41.980000000000004,5.997142857142857,13.652453549309193,0.393044306812768,1
Speaker,3,3.22,9.82,6.12,3.54,5.44,7.99,3.47,5.52,7.84,491.99,39.92,5.702857142857143,12.32439879759519,0.24198396793587174,1
TV,3,5.55,9.04,6.99,1.16,5.98,7.23,0.17,9.0,7.11,652.63,37.64,5.377142857142857,17.33873538788523,0.2165249734325186,1
Stove,0,9.64,5.16,2.11,8.2,7.03,5.18,8.14,2.84,0.26,589.88,33.76,4.822857142857143,17.47274881516588,0.3053909952606635,1
Speaker,3,1.51,8.81,6.01,5.53,8.13,6.28,0.76,5.73,5.76,401.5,38.2,5.457142857142857,10.51047120418848,0.3020942408376963,1
Laptop,2,2.8,6.58,4.4,9.79,10.0,5.38,3.75,0.16,0.63,377.35,34.10999999999999,4.872857142857142,11.06273819994137,0.4160070360598066,1
Audio Equipment,3,7.83,9.54,1.36,7.49,4.28,9.12,3.54,1.82,3.35,463.3,30.96,4.422857142857143,14.964470284237725,0.2858527131782946,1
Air Conditioner,0,1.0,1.02,1.03,5.0,9.3,1.32,4.5,7.59,7.37,105.06,36.11,5.158571428571428,2.9094433674882305,0.1669897535308779,0
Microwave Oven,1,2.14,0.62,2.01,6.59,9.1,8.69,1.86,6.49,5.06,213.49,39.800000000000004,5.685714285714286,5.3640703517587935,0.21608040201005022,0
Fridge,0,5.49,9.48,1.19,8.89,9.94,1.18,6.27,1.55,2.1,339.11,31.12,4.445714285714286,10.896850899742931,0.32390745501285345,1
Laptop,2,6.32,4.23,7.67,5.25,1.74,4.34,4.09,4.23,0.68,724.03,28.0,4.0,25.858214285714286,0.4614285714285714,1
Audio Equipment,3,4.46,7.52,7.61,9.89,8.56,6.02,1.39,8.28,0.85,631.44,42.6,6.085714285714286,14.822535211267606,0.4107981220657277,1
TV,3,5.12,1.75,8.81,7.75,8.62,1.87,8.11,5.2,2.4,724.78,42.76,6.1085714285714285,16.94995322731525,0.3872778297474276,1
Iron,1,0.76,9.6,2.18,4.96,5.19,8.42,3.67,5.04,4.73,159.88,34.19,4.884285714285714,4.676221117285756,0.2088329921029541,0
Monitor,3,2.79,1.84,7.53,4.72,1.44,4.34,0.61,7.33,6.11,541.71,32.08,4.582857142857143,16.88622194513716,0.38185785536159605,1
Laptop,2,5.99,0.22,8.55,8.67,8.78,4.85,9.94,5.99,5.77,752.78,52.55,7.507142857142857,14.325023786869648,0.3276879162702188,1
Audio Equipment,3,8.05,6.08,8.62,0.38,9.25,4.67,5.77,6.83,8.8,861.11,44.32000000000001,6.331428571428573,19.429377256317686,0.2030685920577617,1
Vacuum Cleaner,1,8.31,8.39,8.45,0.58,6.88,1.82,1.82,0.94,6.74,866.02,27.230000000000004,3.8900000000000006,31.80389276533235,0.3316195372750642,1
Air Conditioner,0,9.08,8.2,2.46,1.78,0.71,1.37,0.82,2.46,0.58,582.7,10.180000000000001,1.4542857142857144,57.239685658153235,0.4165029469548133,1
Fridge,0,6.26,4.78,0.35,1.39,0.28,7.92,2.55,4.48,8.19,329.23,25.159999999999997,3.594285714285714,13.085453100158984,0.06915739268680446,1
Vacuum Cleaner,1,4.93,0.81,4.68,6.0,2.29,5.75,7.38,4.73,6.29,493.6,37.12,5.3028571428571425,13.29741379310345,0.28771551724137934,1
Washing Machine,0,2.66,9.5,8.93,0.89,5.86,3.19,6.58,2.7,2.81,614.76,30.96,4.422857142857143,19.856589147286822,0.31718346253229973,1
Microwave Oven,1,2.55,0.6,4.94,9.94,9.4,2.41,0.42,6.98,1.01,390.51,35.1,5.014285714285714,11.125641025641025,0.42393162393162387,1
Smartphone,2,9.77,3.27,4.69,5.77,5.03,6.81,1.1,0.32,5.63,733.42,29.35,4.192857142857143,24.98875638841567,0.35638841567291313,1
Vacuum Cleaner,1,5.08,7.88,7.22,7.41,1.88,4.84,6.78,3.47,9.62,641.1,41.22,5.888571428571429,15.553129548762737,0.3549247937894226,1
Speaker,3,5.46,3.53,4.84,1.47,7.03,1.73,0.29,8.54,7.4,529.77,31.299999999999997,4.471428571428571,16.92555910543131,0.20159744408945687,1
Toaster,1,9.66,0.23,7.19,9.07,5.43,0.47,9.34,0.49,7.78,860.12,39.769999999999996,5.681428571428571,21.627357304500883,0.40885089263263774,1
Washing Machine,0,2.43,0.29,3.62,5.04,1.01,5.18,5.71,6.54,9.15,313.64,36.25,5.178571428571429,8.652137931034483,0.23889655172413793,1
iPhone 11,2,0.14,9.98,9.48,9.49,9.91,8.91,3.0,3.14,2.11,520.85,46.04,6.577142857142857,11.312988705473503,0.4120330147697654,1
Speaker,3,3.18,2.87,9.52,8.44,4.35,4.63,4.75,7.44,3.45,668.14,42.580000000000005,6.082857142857144,15.69140441521841,0.4217942696101456,1
TV,3,9.35,6.09,3.52,4.26,7.84,5.35,0.68,9.85,3.26,651.73,34.76,4.965714285714285,18.749424626006906,0.2238204833141542,1
Smartphone,2,3.19,6.01,5.45,7.3,9.87,7.36,9.08,2.71,7.56,452.48,49.33,7.047142857142857,9.172511656192986,0.25846340968984394,1
Laptop,2,8.88,7.14,1.63,5.22,3.0,9.22,8.25,8.76,7.27,527.97,43.349999999999994,6.192857142857142,12.179238754325262,0.15801614763552482,1
Laptop,2,2.69,6.34,1.8,5.4,4.1,4.12,2.6,7.52,7.72,232.39,33.260000000000005,4.751428571428572,6.9870715574263365,0.21647624774503907,0
Tablet,2,8.87,0.12,9.45,3.68,5.94,0.11,9.89,1.64,3.02,942.33,33.730000000000004,4.818571428571429,27.93744441150311,0.3892677142010079,1
Iron,1,9.45,3.36,2.06,6.57,9.26,7.43,7.23,4.12,8.45,576.91,45.11999999999999,6.445714285714284,12.786125886524825,0.19126773049645396,1
TV,3,2.6,7.39,1.03,0.84,4.15,6.65,4.52,3.42,8.52,187.36,29.13,4.161428571428571,6.431857191898387,0.0641949879848953,0
Washing Machine,0,6.23,5.66,8.73,6.34,9.25,4.13,6.19,8.52,9.23,777.33,52.39,7.484285714285714,14.837373544569575,0.2876503149456003,1
Fridge,0,5.33,8.32,2.23,8.94,7.95,9.02,5.93,2.9,8.48,386.43,45.45,6.492857142857143,8.502310231023102,0.24576457645764574,1
Audio Equipment,3,3.2,5.84,2.09,1.63,0.58,6.2,7.68,5.2,5.0,272.69,28.38,4.054285714285714,9.608527131782946,0.1310782241014799,0
Tablet,2,8.97,1.73,0.57,3.88,4.47,2.44,7.93,0.28,6.02,472.39,25.59,3.6557142857142857,18.459945291129348,0.17389605314576007,1
Microwave Oven,1,1.56,1.46,8.02,1.55,7.55,9.34,8.28,6.5,7.22,507.49,48.46,6.922857142857143,10.472348328518367,0.1974824597606273,1
TV,3,2.0,6.64,4.85,6.51,8.11,3.39,1.74,7.31,1.95,362.12,33.86,4.837142857142857,10.694624926166568,0.33549911399881865,1
Fridge,0,2.38,4.14,4.01,3.42,5.67,1.77,6.6,9.86,4.02,334.29,35.349999999999994,5.049999999999999,9.456577086280058,0.2101838755304102,1
Audio Equipment,3,7.43,2.64,0.15,1.66,7.6,2.51,6.63,1.43,9.09,374.78,29.07,4.152857142857143,12.892328861369108,0.06226350189198486,1
Fridge,0,1.23,7.94,3.07,9.05,9.61,2.05,9.63,7.05,1.38,229.65,41.84,5.977142857142858,5.4887667304015295,0.28967495219885275,0
Speaker,3,5.3,6.35,0.23,8.92,3.62,7.15,5.24,1.27,7.23,276.57,33.660000000000004,4.808571428571429,8.21657754010695,0.27183600713012473,0
Air Conditioner,0,5.39,1.23,0.85,8.46,4.75,3.25,0.77,9.99,4.18,311.22,32.25,4.607142857142857,9.650232558139535,0.2886821705426357,1
